Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-08-16T21:36:22.998Z","","","Included","cursor-grok-4.5-high-fast","No","0","30379","48256","1038","79673","Included"
"2026-08-16T21:34:52.447Z","","","Included","cursor-grok-4.6-high-fast","No","0","37233","69760","7199","114192","Included"
"2026-08-16T04:14:15.434Z","","","Included","cursor-grok-4.6-high-fast","No","0","52818","97920","2648","153386","Included"
"2026-08-16T03:26:33.707Z","","","Included","cursor-grok-4.6-high-fast","No","0","48073","183936","6701","238710","Included"
"2026-08-16T03:24:54.410Z","","","Included","cursor-grok-4.6-high-fast","No","0","95040","692032","10765","797837","Included"
"2026-08-16T03:02:04.469Z","","","Included","cursor-grok-4.6-high-fast","No","0","135101","737216","18992","891309","Included"
"2026-08-16T02:31:41.136Z","","","Included","cursor-grok-4.6-high-fast","No","0","1910","653952","1003","656865","Included"
"2026-08-16T02:28:21.333Z","","","Included","cursor-grok-4.6-high-fast","No","0","81200","2119232","6427","2206859","Included"
"2026-08-16T02:27:03.620Z","","","Included","cursor-grok-4.6-high-fast","No","","","","","","Free"
"2026-08-16T02:06:32.593Z","","","Included","cursor-grok-4.6-high-fast","No","0","146629","2870720","28666","3046015","Included"
"2026-08-16T01:48:09.967Z","","","Included","cursor-grok-4.6-high-fast","No","0","82609","1293952","22310","1398871","Included"
"2026-08-15T21:19:38.734Z","","","Included","cursor-grok-4.6-high-fast","No","0","98566","681664","19120","799350","Included"
"2026-08-15T01:18:31.336Z","","","Included","cursor-grok-4.6-high-fast","No","0","7427","124480","5380","137287","Included"
"2026-08-15T01:15:42.529Z","","","Included","cursor-grok-4.6-high-fast","No","0","38933","69056","1850","109839","Included"
"2026-08-15T01:09:00.311Z","","","Included","cursor-grok-4.6-high-fast","No","0","63912","60288","18995","143195","Included"
